CLIENTE;PAIS;CATEGORÍA;APERTURA;SEGMENTO;AGR_SEGM;YTD 1er Mes;Orden_Apertura
Bimbo;Paraguay;Panificados;AYGAS AUTOSERVICIOS;PAN DE CAJA;Por Tipo;1;112
;;;AYGAS DESPENSAS;PAN ESPECIAL;Subtipo;;113
;;;AYGAS MIN;TOT.PROD.;Tot.Prod.;;106
;;;CENTRO;BOLLERIAS;Por Tipo;;111
;;;ESTE;PAN DE HAMBURGUESAS;Subtipo;;107
;;;NORTE;PAN BLANCO;Subtipo;;108
;;;RESTO CENTRAL;PAN DE PANCHO;Subtipo;;109
;;;SUR;MINI PANES;Subtipo;;110
;;;TOT.PY.MIN.;;;;103
;;;TOTAL AYGAS;;;;104
;;;TOTAL CADENAS;;;;102
;;;TOTAL INTERIOR;;;;105
;;;TOTAL PARAGUAY;;;;101
